epoch,lr,train_total,train_main,train_nonneg,train_smooth,train_anom,train_grad,train_pattern,train_spectral,train_var,train_rmse
1,0.0001,2.4954784399632253,0.8103109660953509,5.162865134401461e-07,0.0,0.1173310093440567,0.0026223600050963632,0.8134043890644204,0.7518096706180861,0.0,4.477655090752832
2,0.0001,1.5432570445718188,0.3359088286207142,0.0,0.0,0.08745049973455907,0.0014936866061885446,0.5198954279449853,0.5985085961945129,0.0,3.580391894046915
3,0.0001,1.3155614180546817,0.20367299085200735,0.0,0.0,0.08004457106334016,0.0012724450740885611,0.464925882604086,0.5656455299167922,0.0,3.1415241038846364
4,0.0001,1.2209028355551488,0.1594324929950138,0.0,0.0,0.07500242724817133,0.0011645992867257023,0.43250368044457654,0.5527996366674249,0.0,3.009687695453365
5,0.0001,1.1180964918299154,0.136049674329997,0.0,0.0,0.0672175088742127,0.001108854654210683,0.3797467225090121,0.5339737351645123,0.0,2.9254355396359304
6,0.0001,1.0440064625758114,0.12113368863268106,0.0,0.0,0.06129025519388079,0.001043819463754489,0.3411364675584165,0.5194022295375665,0.0,2.8765895041553717
7,0.0001,0.9944188506765799,0.11690646317914467,0.0,0.0,0.05785435563390792,0.0010077275900116408,0.31633924704157945,0.502311055294492,0.0,2.949101633188508
8,0.0001,0.9417924806475639,0.10649313652097728,0.0,0.0,0.05409450050104748,0.0009902882423678723,0.2917735174185399,0.48844103955409746,0.0,2.829044381738179
9,0.0001,0.9167044422391689,0.10361295540915859,0.0,0.0,0.052093496500288675,0.0009721386809498213,0.27772989459900244,0.4822959603007996,0.0,2.8332392544339355
10,0.0001,0.8928071068543376,0.10009387182424578,0.0,0.0,0.050202406390753546,0.0009633482038197778,0.26911176329083514,0.4724357191360358,0.0,2.7802497116717593
11,0.0001,0.8670524661288117,0.09491407603843871,0.0,0.0,0.04713556248073777,0.0009539558724292984,0.2574747269126502,0.4665741441827832,0.0,2.77488058354789
12,0.0001,0.8417681936513294,0.08911798300687224,0.0,0.0,0.046632256023726906,0.0009508281004717433,0.2471532631157474,0.4579138653070638,0.0,2.654622182353529
13,0.0001,0.8138080638918009,0.08201721229124814,0.0,0.0,0.04403299531215012,0.0009387597934674528,0.23709314762417114,0.4497259473710349,0.0,2.6071857729609174
14,0.0001,0.8065200083409295,0.08231751919921601,0.0,0.0,0.04279637930272712,0.0009442911287998978,0.22845233821620545,0.45200947909192607,0.0,2.5712712882012605
15,0.0001,0.7933364539886966,0.07939554780199559,0.0,0.0,0.04197043687048735,0.0009383464435042256,0.226222609226225,0.444809513110103,0.0,2.55646931651746
16,0.0001,0.779572227348884,0.07425162017303095,0.0,0.0,0.041000464472524596,0.0009378363284309726,0.2181819360421011,0.4452003675202529,0.0,2.4555837113707306
17,0.0001,0.7667464271865108,0.0741817557930269,0.0,0.0,0.03976642845417232,0.0009343547052126131,0.20738387327979912,0.4444800158115951,0.0,2.468246277359653
18,0.0001,0.7546376124250166,0.07162570245705094,0.0,0.0,0.03923407862329799,0.0009312016929029734,0.20798951917977043,0.43485710939223116,0.0,2.5145870474785137
19,0.0001,0.7380166211814592,0.06797177722028484,0.0,0.0,0.037920029435278564,0.000929770723208397,0.1994794997189081,0.4317155464580565,0.0,2.417571355393452
20,0.0001,0.7340476008301432,0.07019532527280689,0.0,0.0,0.03667193524377195,0.0009264101168589674,0.19622009210852961,0.43003383922305977,0.0,2.4323861077386284
21,0.0001,0.7278638421134516,0.06513188652002788,0.0,0.0,0.03608318550025367,0.0009236189336220515,0.1932878050896706,0.4324373459499894,0.0,2.428252718540573
22,0.0001,0.7236581115108548,0.0656358880294261,0.0,0.0,0.03525719690757493,0.000926404260154055,0.19315299899740654,0.42868562031424406,0.0,2.4459177699390615
23,0.0001,0.71400610075304,0.06452645646111871,0.0,0.0,0.03539104988996052,0.0009227939451441423,0.18920600391698605,0.4239597954984867,0.0,2.392911790612233
24,0.0001,0.7004853554747321,0.06032795555339279,0.0,0.0,0.03533231088658795,0.0009214985957717572,0.1843762103129517,0.4195273799652403,0.0,2.3656169740836352
25,0.0001,0.6930902803486044,0.059092638656059564,0.0,0.0,0.03433446346422319,0.0009209260470291183,0.18120768106062757,0.41753457272143074,0.0,2.323748139687517
26,0.0001,0.6850987480896892,0.05685790236263225,0.0,0.0,0.03250298622791006,0.0009199281955785189,0.17846934920684857,0.4163485818514318,0.0,2.30103182377017
27,0.0001,0.6938900961117311,0.059641173455130425,0.0,0.0,0.03373175391585171,0.0009189378680744222,0.17659583072544952,0.42300240052017296,0.0,2.386682745540824
28,0.0001,0.6803083641059471,0.056923429903249737,0.0,0.0,0.03257762125841426,0.0009170737462916419,0.17286826879011863,0.4170219697283976,0.0,2.3694634960373127
29,0.0001,0.6719127561558377,0.05625566991511732,0.0,0.0,0.03226447991398869,0.0009164287674304268,0.1722409479940931,0.41023523247603216,0.0,2.2967902901468054
30,0.0001,0.6662933639053142,0.055469414743129164,0.0,0.0,0.031315395485073554,0.0009158688370172803,0.16840010158943408,0.4101925819660678,0.0,2.3311906571241137
31,0.0001,0.6704687913033095,0.055465024714287596,0.0,0.0,0.03159702265684521,0.0009155317466965326,0.17147405592329573,0.4110171553311926,0.0,2.291126474031431
32,0.0001,0.6645727069540457,0.053523688545365905,0.0,0.0,0.03150429187173193,0.0009126478340807477,0.16822118608450348,0.41041089233123895,0.0,2.3297711246487958
33,0.0001,0.6521187530774059,0.05176688130648637,0.0,0.0,0.03082649065287445,0.000913747482572393,0.16331267687068743,0.4052989568674203,0.0,2.310566465986947
34,0.0001,0.6549855647890857,0.051332124935773514,0.0,0.0,0.030255250731539545,0.0009113979235597512,0.16262349499050865,0.4098632962188937,0.0,2.259023854761849
35,0.0001,0.6483287258130132,0.04946148311578189,0.0,0.0,0.030449066675359834,0.0009110728410495071,0.16286449066617273,0.4046426112904693,0.0,2.265060961515336
36,0.0001,0.6423436843536117,0.04977711895480752,0.0,0.0,0.030044563335126662,0.0009118863587046332,0.15935155529190193,0.40225856028722995,0.0,2.257395665440376
37,0.0001,0.636298693716526,0.04746366491026217,0.0,0.0,0.029024059476796538,0.0009123270447713421,0.15843989113063522,0.4004587499481259,0.0,2.2179059848857747
38,0.0001,0.6329026966158188,0.048720596322902675,0.0,0.0,0.02845101183894175,0.0009096600462009629,0.15565779292955995,0.39916363324631343,0.0,2.232950195918196
39,0.0001,0.6340459774840962,0.0468064882919531,0.0,0.0,0.028531211857846232,0.000911499972448148,0.15621182387412497,0.4015849539727876,0.0,2.2017260648330916
40,0.0001,0.6271123067673409,0.046006606704781225,0.0,0.0,0.02851661529469614,0.000907993405262735,0.15388963556368696,0.397791456544038,0.0,2.2189884540311366
41,0.0001,0.6270426868489294,0.046746531021640156,0.0,0.0,0.028773286519219364,0.0009094701363761542,0.1548892774929603,0.3957241205780795,0.0,2.19451416749638
42,0.0001,0.6312931224026463,0.049542344326971834,0.0,0.0,0.028945350008805028,0.0009074652071748543,0.1531979848461395,0.3986999791002635,0.0,2.249596075543621
43,0.0001,0.6219254423948851,0.04466267725608001,0.0,0.0,0.02724647539170374,0.0009073601867192227,0.1517199230747241,0.3973890086918166,0.0,2.182420360027261
44,0.0001,0.6180764698620999,0.045327864709013906,0.0,0.0,0.027631102844183755,0.0009065097052150646,0.1498679815029556,0.39434301322608284,0.0,2.1864515397716895
45,0.0001,0.6132279763167555,0.04346473267386583,0.0,0.0,0.026971068947618318,0.0009068784000357317,0.14905472964782154,0.392830565571785,0.0,2.17131424969961
46,0.0001,0.6100496087561954,0.04253793617703416,0.0,0.0,0.027172842771202948,0.0009072165077778857,0.14835606408164356,0.39107554586547794,0.0,2.160111378946313
47,0.0001,0.6090816182620598,0.043195189878161094,0.0,0.0,0.026735630381153896,0.0009059755044070313,0.14752852346635226,0.39071630043062294,0.0,2.17749759051455
48,0.0001,0.6004668448233244,0.04161676765546541,0.0,0.0,0.0260853044173652,0.0009061305827895976,0.14444263735221644,0.38741600197373016,0.0,2.131411931633043
49,0.0001,0.6032567568349115,0.041886433936076974,0.0,0.0,0.026256934196377795,0.0009030130723024768,0.14406507220965895,0.39014530306061107,0.0,2.1880552348810354
50,0.0001,0.6031591257814205,0.041550546893356084,0.0,0.0,0.02652019202871474,0.0009027637028008361,0.14369119638859323,0.3904944272203879,0.0,2.145299281702538
51,0.0001,0.5993110633483438,0.041092296891182545,0.0,0.0,0.02586035677813925,0.0009034501972840217,0.1447351766101113,0.3867197815667499,0.0,2.130278914628198
52,0.0001,0.603459188319517,0.042814960563908135,0.0,0.0,0.026823490395944453,0.0009038410052281423,0.14326892416416245,0.38964797364491405,0.0,2.166620727968374
53,0.0001,0.5935462218793955,0.041394949103987805,0.0,0.0,0.025872235825800366,0.0009049374113436153,0.14159026005390016,0.38378383953011397,0.0,2.1469139612534214
54,0.0001,0.5983140002371687,0.04221378289388888,0.0,0.0,0.025619126064350094,0.0009016408747067379,0.14123809024352918,0.38834136137456604,0.0,2.1674727063438217
55,0.0001,0.5920304450573344,0.04146851618619015,0.0,0.0,0.02504212544017443,0.0009026998254601936,0.13961652906216454,0.38500057589827164,0.0,2.16195629962144
56,0.0001,0.5866395922547037,0.04049123008206317,0.0,0.0,0.025176671272757547,0.0009042574684192941,0.1377585275155125,0.38230890498468373,0.0,2.1609097686419885
57,0.0001,0.5817097312573231,0.039142556714289116,0.0,0.0,0.02457500297741993,0.000902507619850274,0.1372916133312339,0.3797980508569515,0.0,2.093367706722788
58,0.0001,0.5860940929163586,0.040069456365679136,0.0,0.0,0.024985413141125304,0.0009034764785390122,0.13689795977464228,0.38323778771992884,0.0,2.178043817275585
59,0.0001,0.5883797172344092,0.040522333259242725,0.0,0.0,0.025250314332714133,0.0009013465740722357,0.13678106095528964,0.38492466125524405,0.0,2.128175254052062
60,0.0001,0.5813761817460711,0.0373089983882947,0.0,0.0,0.024632113253711865,0.0008999619765359746,0.1366364550917889,0.3818986514075236,0.0,2.1047419122142776
61,0.0001,0.5823985583177118,0.03828434403068527,0.0,0.0,0.024840549248355357,0.000900306211020286,0.13727757004512983,0.3810957894858086,0.0,2.0999292900530637
62,0.0001,0.5756936083463106,0.03661548212579818,0.0,0.0,0.024363227906481672,0.0009014888689279994,0.1335118432726824,0.38030156538341986,0.0,2.083613938268614
63,0.0001,0.5730995516659636,0.037967723058748314,0.0,0.0,0.02412983361158915,0.0008997138180954304,0.13275948042670885,0.3773428000735514,0.0,2.1040337908645257
64,0.0001,0.5737751240305828,0.03737506632707223,0.0,0.0,0.02389518301369566,0.0008998932365405684,0.1344666501478941,0.37713833288712934,0.0,2.094624437948676
65,0.0001,0.5757206590338186,0.0376055207664401,0.0,0.0,0.024336841054415952,0.0008995861238266419,0.13308583161878315,0.379792879138029,0.0,2.18153984648371
66,0.0001,0.5754668358148951,0.039219958118558156,0.0,0.0,0.02382715647620375,0.0008984916004203225,0.132449755910784,0.3790714747526429,0.0,2.1510495957564064
67,0.0001,0.5671458421557238,0.036903744877428944,0.0,0.0,0.023936171040545698,0.0008994232898795885,0.1300848667989626,0.3753216367102031,0.0,2.098032601423104
68,0.0001,0.5721699053590948,0.039338683901763885,0.0,0.0,0.023880135522851946,0.0009012346867662432,0.13074076151701086,0.3773090881154393,0.0,2.1315315580938714
69,0.0001,0.5689256492663514,0.03670129635208992,0.0,0.0,0.023826940531073364,0.000897161163734519,0.13006856844224263,0.37743168132323207,0.0,2.0898310865911287
70,0.0001,0.5632546090266921,0.03646129863971675,0.0,0.0,0.023396904522087425,0.0008987139422749875,0.12933038165228386,0.3731673106438283,0.0,2.077051383277874
71,0.0001,0.5586165730474573,0.03461528937932047,0.0,0.0,0.02302111637475195,0.0008980221206884105,0.12793709728584596,0.372145047580654,0.0,2.063995664239071
72,0.0001,0.5621661242436279,0.03461499541123031,0.0,0.0,0.022791514229593857,0.000897509206410949,0.1276686406891906,0.37619346357656247,0.0,2.0833819154668434
73,0.0001,0.5575097172775052,0.03453653185825908,0.0,0.0,0.022942289085635406,0.0008965680954133859,0.12724869723685764,0.3718856307819034,0.0,2.063563219266386
74,0.0001,0.5571464090184732,0.03362325199696264,0.0,0.0,0.022995670478628723,0.0008968865179419729,0.12684816342185845,0.3727824366228147,0.0,2.053354312570203
75,0.0001,0.5574041724656568,0.03487199559370338,0.0,0.0,0.023000314239955817,0.0008971618307524212,0.12625808247619055,0.3723766186246366,0.0,2.0836459110711503
