epoch,lr,train_total,train_main,train_nonneg,train_smooth,train_anom,train_grad,train_pattern,train_spectral,train_var,train_rmse
1,0.0001,2.1368876973336395,0.9228023797217192,0.0,0.0,0.07173622638749128,0.0037448416348497353,0.5158955302428115,0.6227087130149206,0.0,4.581414580804898
2,0.0001,1.755559629337354,0.7336521433158354,0.0,0.0,0.06400473794730549,0.001602949755827219,0.41599660869123356,0.5403031915652029,0.0,4.243469270107298
3,0.0001,1.550516399921793,0.6161784803579476,0.0,0.0,0.05975146241359074,0.0013248229631492657,0.3691019987348806,0.5041596319413546,0.0,4.001287526418832
4,0.0001,1.4362401293985771,0.5371714407669832,0.0,0.0,0.057850531418807805,0.0012486289831003612,0.3376645447799202,0.5023049740402987,0.0,3.807892323366777
5,0.0001,1.3371306104641971,0.47528699204805447,0.0,0.0,0.056517991387271184,0.0011950693407208855,0.32018635882008256,0.483944204946359,0.0,3.628584650667991
6,0.0001,1.2680630758404732,0.4287998729780542,0.0,0.0,0.054790241920713786,0.001169754289245854,0.30062555106864736,0.4826776520772414,0.0,3.490586895904748
7,0.0001,1.2068118116620816,0.39596221959712263,0.0,0.0,0.053127486722642614,0.0011418497864118156,0.2895162866422624,0.46706397413755907,0.0,3.4040728423063875
8,0.0001,1.1297516597039772,0.3464202818912313,0.0,0.0,0.05091180063953454,0.001114023799979777,0.2782235847729625,0.45308196409182117,0.0,3.260200890828781
9,0.0001,1.0874215138681007,0.3282950574877869,0.0,0.0,0.048357464468360624,0.001112157929596971,0.2620882962294149,0.44756853422432236,0.0,3.2054842605358065
10,0.0001,1.034566087478941,0.29938653448709485,0.0,0.0,0.04587104834905459,0.001098560279139995,0.2517298362076734,0.43648011801820813,0.0,3.0854662096636054
11,0.0001,1.0151919322935017,0.2905667910500514,0.0,0.0,0.044834717679557136,0.001062428172107585,0.2420411231842908,0.4366868701622342,0.0,3.038291592701491
12,0.0001,0.9828686970427181,0.2658541822615503,0.0,0.0,0.04469195542553665,0.0010637345541467905,0.2353234582608848,0.4359353653183489,0.0,3.0162648760002218
13,0.0001,0.9303410504803513,0.24842736991757358,0.0,0.0,0.040832727556610764,0.001039940334576937,0.22115343890971306,0.41888757490298967,0.0,2.8906518081683092
14,0.0001,0.9125155833634463,0.2378337975083427,0.0,0.0,0.040771707894181775,0.001026921253000954,0.21561421662794822,0.41726893671985826,0.0,2.8765458260539827
15,0.0001,0.889498816972429,0.2250995407036195,0.0,0.0,0.03844465671643389,0.001005386464385083,0.21061920989869218,0.41433002551396686,0.0,2.8548525521027535
16,0.0001,0.8584957504362771,0.2058737949418807,0.0,0.0,0.03777191360572805,0.0010027185615013657,0.202789775378099,0.41105754470283334,0.0,2.760886470294226
17,0.0001,0.8426335213536565,0.19491577300130192,0.0,0.0,0.0373519419420821,0.0009933387355527939,0.1997225700567166,0.409649894431685,0.0,2.743995342314308
18,0.0001,0.8231169728167129,0.1812992334104792,0.0,0.0,0.03706638718369615,0.0010016022814935159,0.19716154769853209,0.40658820307616034,0.0,2.7716293341483196
19,0.0001,0.80851152223168,0.18056693709116767,0.0,0.0,0.03543132661213873,0.0009803435789239522,0.1905972815090508,0.4009356307938243,0.0,2.6540499059172142
20,0.0001,0.8107866455208171,0.17613474228842693,0.0,0.0,0.03595601953213301,0.0009848126349176957,0.1920903233641928,0.40562074733051384,0.0,2.7109767846366544
21,0.0001,0.7710988433523611,0.15235163454163933,0.0,0.0,0.03416843316694157,0.0009731337538114255,0.18488746517422525,0.3987181773691466,0.0,2.658691870515292
22,0.0001,0.766814659716505,0.15005564852970454,0.0,0.0,0.034889598419381815,0.0009744379270462863,0.1824275404214859,0.39846743485241226,0.0,2.6349430012282937
23,0.0001,0.7526975774178,0.14409150804258938,0.0,0.0,0.03427828465955275,0.0009583949952987799,0.18115931661855994,0.3922100745593057,0.0,2.5896748017733104
24,0.0001,0.7351059998300943,0.13442067362749102,0.0,0.0,0.03312291791592019,0.0009528587418599548,0.17517536617533275,0.3914341822718129,0.0,2.5255606100392556
25,0.0001,0.7344507019628178,0.13839460692939942,0.0,0.0,0.03294229914370755,0.0009492203644185793,0.17179894983542687,0.3903656305011475,0.0,2.5666321324149335
26,0.0001,0.7193968373943459,0.12633893567941745,0.0,0.0,0.030874933961030998,0.0009482276391006026,0.17285618894366603,0.3883785524151542,0.0,2.5080636178895883
27,0.0001,0.7039589280206145,0.11819354756064995,0.0,0.0,0.031850605201201906,0.000941201025136362,0.1689778229108814,0.38399575210430403,0.0,2.5245340580743942
28,0.0001,0.7045586560711716,0.12165010333851431,0.0,0.0,0.03135926563955956,0.0009414095803191285,0.16538896665654398,0.3852189134693507,0.0,2.5651585535583012
29,0.0001,0.6905210832077445,0.11084944043647159,0.0,0.0,0.030920537121622176,0.0009304848594404051,0.166204415656852,0.3816162080250003,0.0,2.4154241701877512
30,0.0001,0.6755677614022385,0.10279155246186719,0.0,0.0,0.03014185314003209,0.0009272848051433825,0.16287956265450426,0.37882750549099664,0.0,2.405778548600867
31,0.0001,0.6796058943551598,0.10751148184168745,0.0,0.0,0.029828750434910144,0.0009237033502744673,0.1595585603041179,0.38178340018247114,0.0,2.414091368020327
32,0.0001,0.6760159166473331,0.10739977019627324,0.0,0.0,0.030334456534491794,0.0009236519386886908,0.15767444159384025,0.3796835946991588,0.0,2.455400994247446
33,0.0001,0.6606654757351587,0.10083211029026036,0.0,0.0,0.029240403435489334,0.0009244994545235496,0.15722293059595607,0.3724455334471934,0.0,2.3994236999669525
34,0.0001,0.6514034507175287,0.1002059226703943,0.0,0.0,0.028387695363948518,0.000918026248296938,0.152332391857988,0.36955941570076073,0.0,2.301304846420751
35,0.0001,0.6555043646331989,0.09652063667343816,0.0,0.0,0.028896484234737174,0.0009143652153976622,0.15307083924893627,0.37610203727628244,0.0,2.3998698903153914
36,0.0001,0.6464466761910554,0.09872467060234737,0.0,0.0,0.028412172450881564,0.0009143243631004941,0.14933780985743259,0.36905769744154177,0.0,2.3858558393184253
37,0.0001,0.6357883187857541,0.09241259259446948,0.0,0.0,0.027915507349517255,0.0009083009804409371,0.14685645861776941,0.36769545970089507,0.0,2.408119940504352
38,0.0001,0.6300214006367958,0.08976427499896311,0.0,0.0,0.027235404660600718,0.0009099208589098205,0.1470233712232474,0.36508843020507786,0.0,2.3083835741587206
39,0.0001,0.6353065068974639,0.09110184153541923,0.0,0.0,0.02693310031970737,0.0009127993571658435,0.14579610170965845,0.37056266053607967,0.0,2.3168097681515314
