epoch,lr,train_total,train_main,train_nonneg,train_smooth,train_anom,train_grad,train_pattern,train_spectral,train_var,train_rmse
1,0.0001,2.035876510269714,0.8018650059080259,0.0,0.0,0.07140446718866852,0.003869452477595063,0.513314862312241,0.6454227301433231,0.0,4.4040659769593065
2,0.0001,1.4324550757353955,0.38452143362497515,0.0,0.0,0.06668900653621125,0.0013339887351101038,0.43034170624433143,0.5495689393896045,0.0,3.685252558935635
3,0.0001,1.17126133360646,0.22633523041043768,0.0,0.0,0.06144050083292479,0.001193857640993718,0.3690512465369521,0.5132404992526228,0.0,3.244739982492498
4,0.0001,1.0472874399839025,0.1575042747038727,0.0,0.0,0.057901311186001156,0.0011306653114760675,0.33419521384392725,0.49655597566655185,0.0,3.019998007094222
5,0.0001,0.9654591566685474,0.12721766793578299,0.0,0.0,0.05414218370710979,0.0010744576248918856,0.30950925112560845,0.47351559522477066,0.0,2.8767492418919
6,0.0001,0.9314279197291895,0.11653498882978139,0.0,0.0,0.052146611938069604,0.0010242158573281345,0.29492725293631805,0.4667948466358763,0.0,2.880424765539954
7,0.0001,0.8736268067450235,0.10838819020709982,0.0,0.0,0.04866618394082638,0.0010076611568806445,0.27317720804024825,0.44238756461576983,0.0,2.841480761951715
8,0.0001,0.8485392240638082,0.10156961615818243,0.0,0.0,0.046796425034038046,0.0009861416063248532,0.263122240758755,0.4360648024488579,0.0,2.7838633125443097
9,0.0001,0.8216860464802294,0.09823872608831152,0.0,0.0,0.04556626543600225,0.0009730031501517674,0.24832117712746063,0.4285868758505041,0.0,2.873784741848948
10,0.0001,0.8020082537197706,0.09202201428089404,0.0,0.0,0.043846314095638016,0.0009606835514701247,0.2396275129338557,0.42555172989765805,0.0,2.7632631472665974
11,0.0001,0.7799164086128726,0.08862803980468237,0.0,0.0,0.04147512338011328,0.0009429300511273499,0.2294265336893273,0.41944378174164076,0.0,2.6699383551958804
12,0.0001,0.7593878748064692,0.08433089755955293,0.0,0.0,0.040302837671443936,0.0009409553783343379,0.22064780864413036,0.41316537355834787,0.0,2.642498594598569
13,0.0001,0.732398083941503,0.08029353823230574,0.0,0.0,0.03805370389300427,0.0009358204598825206,0.21049696825106035,0.4026180512525819,0.0,2.587067125349536
14,0.0001,0.7296125403407848,0.07986116081927762,0.0,0.0,0.038188796439278645,0.0009373563944157495,0.20602542317161956,0.4045998010445725,0.0,2.569897348034232
15,0.0001,0.7175971314762578,0.07836839025416835,0.0,0.0,0.036633535365884505,0.0009316352239473032,0.20086268197293533,0.4008008891885931,0.0,2.5729909798819817
16,0.0001,0.6953823852042357,0.07090137508048704,0.0,0.0,0.035344380758364095,0.0009317438855236326,0.19175877873644684,0.3964461062216397,0.0,2.484111336593668
17,0.0001,0.6894689191019896,0.07181600463633059,0.0,0.0,0.035295289835299955,0.0009275457642533266,0.18673329853988957,0.39469677954912186,0.0,2.485895250740442
18,0.0001,0.6775921761538043,0.06996048518075523,0.0,0.0,0.033967670861095416,0.0009216327233099781,0.18404142572685625,0.3887009634213014,0.0,2.5261972958533963
19,0.0001,0.6632196869362484,0.06615648448650698,0.0,0.0,0.03254957204846891,0.0009154225523216706,0.17655663714377265,0.3870415723685062,0.0,2.410174265943818
20,0.0001,0.6659400256519968,0.06987102244536138,0.0,0.0,0.0326139768850143,0.0009114671861563252,0.17566346605731684,0.38688009254860156,0.0,2.452014808598958
21,0.0001,0.6538341297118953,0.06526183598378504,0.0,0.0,0.03202702124888839,0.0009115459863757926,0.17019850261170755,0.3854352231278564,0.0,2.4613868556548404
