epoch,lr,train_total,train_main,train_nonneg,train_anom,train_grad,train_pattern,train_spectral,train_rmse
1,0.0001,2.061609941845139,0.8792743979817411,0.0,0.08232407938824811,0.004408351376696373,0.478216903982684,0.6173862158320844,4.385063727984755
2,0.0001,1.5273886816576123,0.5378477141978996,0.0,0.07353845038354241,0.0017558321084531296,0.37820744328200817,0.5360392482640842,3.6991277047680393
3,0.0001,1.234234950505197,0.27468585040575516,0.0,0.0719718331626306,0.0016000866035028594,0.353011161282969,0.5329660110486051,3.244834098769093
4,0.0001,1.065384843076269,0.17833518741341928,0.0,0.06465074938023463,0.001415966760456892,0.32054127019364387,0.5004416696416835,2.977942952266557
5,0.0001,1.0038058776408434,0.14413168442357951,0.0,0.06300856051772523,0.0013125384557497455,0.3049677807527284,0.4903853183301787,2.929281784879756
6,0.0001,0.9381489846855402,0.12841686677226485,0.0,0.0591112717568952,0.0012263413903686644,0.2783074321535726,0.4710870700267454,2.8769196319713135
7,0.0001,0.8864581156522036,0.11589418389485218,0.0,0.05591709355455047,0.0011635346440925787,0.2608433599816635,0.4526399476453662,2.7945291756406094
8,0.0001,0.8498719055205584,0.10732729503555068,0.0,0.05299711462915487,0.0011366175138694719,0.2429576279440274,0.4454532464345296,2.7735189184464732
9,0.0001,0.8280580330950519,0.1008524603433519,0.0,0.051350111374631524,0.0011035257853109215,0.23006525763776153,0.44468667668600875,2.759849312016108
10,0.0001,0.7850892595015466,0.09502406705966375,0.0,0.047465297880989965,0.0010855861505660869,0.21284429364216825,0.4286700136338671,2.741252576641794
11,0.0001,0.7721956763416529,0.09169674081689057,0.0,0.04776358910748968,0.0010683369764592499,0.20836193793608496,0.42330507080381113,2.7090507232923207
12,0.0001,0.7487897705286741,0.08652585615345743,0.0,0.045924329938619245,0.0010531066194137868,0.1999695423291996,0.4153169334555666,2.6747476708413744
13,0.0001,0.7247374542057514,0.08338427419463794,0.0,0.0425387953146128,0.0010428358812835843,0.18922057456802577,0.40855097413683933,2.638723393622309
14,0.0001,0.7299666066343585,0.08442346438823733,0.0,0.042345970003225375,0.0010313649757639116,0.18791761808097363,0.41424818911279243,2.702243493082029
15,0.0001,0.7056825966574252,0.0790784682200562,0.0,0.039633487940591294,0.0010264711825887691,0.17943151656072587,0.40651265112683177,2.6274416617057104
16,0.0001,0.6947095471744736,0.07710877178275648,0.0,0.03965449396976813,0.0010187712687184103,0.17369505017995834,0.40323246363550425,2.633912630634812
17,0.0001,0.6765852997389933,0.07280290453248502,0.0,0.03806252885745683,0.0010110498901667597,0.16831415705382824,0.3963946589889626,2.585119266294995
18,0.0001,0.6612814525142312,0.06537780431729819,0.0,0.03695663144268716,0.0010069530120138854,0.16783714989045015,0.3901029128270845,2.5161104497470226
19,0.0001,0.6646094468111793,0.07286915550988245,0.0,0.03795976755888356,0.0010039798938426732,0.16081479475057373,0.3919617480908831,2.5894676085997697
20,0.0001,0.634892761396865,0.06438676138107742,0.0,0.03454282528400654,0.0009959067506315478,0.15328483254415914,0.3816824381550153,2.538046209334824
21,0.0001,0.6356264272083839,0.06837028764857678,0.0,0.034541008091764525,0.0009866077200513246,0.15169769692389914,0.3800308269759019,2.5273539209731255
22,0.0001,0.6296334303915501,0.06643410817196127,0.0,0.0340444228471218,0.000987862223155389,0.1489549808902666,0.379212056286633,2.5465203319423786
23,0.0001,0.6218922026455402,0.06238337307392309,0.0,0.033935427862161305,0.0009804724755516265,0.14772413176251575,0.3768687970004976,2.511684701230473
24,0.0001,0.6218576650135219,0.06496963270183187,0.0,0.033275309523257114,0.0009847107363990897,0.1445002777618356,0.3781277349529167,2.5039704386666877
25,0.0001,0.6226822777340809,0.06673315960991506,0.0,0.03435568275745027,0.0009733345442934175,0.14446065658315396,0.37615944631397724,2.584332244705677
26,0.0001,0.6019430790717403,0.05963852197116163,0.0,0.030841767168264294,0.0009775998942131991,0.13963110597493747,0.37085408391430974,2.4692143117877015
27,0.0001,0.6038740170188248,0.05932035419391468,0.0,0.03187164723446282,0.0009754429452186741,0.1381496838099944,0.37355688757573563,2.4751767349858484
28,0.0001,0.5868656241024534,0.05734437248853889,0.0,0.031128579837968573,0.0009760848717329887,0.13357866221728423,0.3638379235441486,2.4783054236264386
29,0.0001,0.5943562981362144,0.058047533091060664,0.0,0.03136350747323983,0.0009643939959763278,0.13418601794789234,0.3697948434079687,2.4771871978510314
30,0.0001,0.5807035837012032,0.05679298070269093,0.0,0.030421011232344124,0.000966218356400835,0.12752025809216624,0.36500311456620693,2.4511210588016534
31,0.0001,0.5806393457266191,0.05437023150928629,0.0,0.029797688883263618,0.0009632169751512265,0.12893626732208455,0.3665719397055606,2.4491989853690037
32,0.0001,0.5818794461277624,0.056736850977661867,0.0,0.029406217186381884,0.0009600446931775272,0.12729893292998895,0.3674774020910263,2.4645920694914696
33,0.0001,0.5771813383325934,0.054345140675044,0.0,0.03006552715911918,0.0009686969353121336,0.12857489881571382,0.36322707450017333,2.4300142469515675
34,0.0001,0.5689564648394784,0.05328083008983716,0.0,0.029770271677989513,0.0009580144572585899,0.12387459339030708,0.36107275635004044,2.459165904000454
35,0.0001,0.5644602125200132,0.051772595104315165,0.0,0.028176892480890576,0.0009565776016036883,0.12457038157541926,0.3589837652010222,2.4103582373963515
36,0.0001,0.5492258756421506,0.04747747447254369,0.0,0.02700114868154439,0.0009594851852246696,0.12061216569660853,0.35317560091304284,2.362457135158206
37,0.0001,0.5511242365464568,0.04776071944312813,0.0,0.027907251351280138,0.0009559770730902528,0.11971713037928566,0.35478315750757855,2.382515947904415
38,0.0001,0.5481872321106493,0.04695181960657161,0.0,0.026778464743983932,0.0009490531314592469,0.11884906212799251,0.35465883277356625,2.356155048271781
39,0.0001,0.5438115972404679,0.047711475194470644,0.0,0.027037380554247648,0.0009556717459417996,0.11811560462228954,0.34999146483217675,2.3583597113767185
40,0.0001,0.5357788602511088,0.04548773939313833,0.0,0.026303758007998113,0.0009472721009539479,0.11759074232152973,0.3454493486012022,2.3551557529492575
41,0.0001,0.5364581930140654,0.04354255334571159,0.0,0.026405742338586908,0.0009446217754884856,0.11505105720910554,0.350514218211174,2.3040321624092277
42,0.0001,0.5266783009283245,0.042277388793687955,0.0,0.02603212808026001,0.0009430023507472166,0.11302803705135982,0.34439774323254824,2.306848385751503
43,0.0001,0.5257341798084477,0.04175862397338884,0.0,0.025721359234012198,0.0009391230185732032,0.1134430089732632,0.34387206674243015,2.300097953175753
44,0.0001,0.5337261836975813,0.04482473673124332,0.0,0.026084415085885364,0.0009378497146978285,0.11221670037290703,0.34966248157434165,2.3268494333726415
45,0.0001,0.5133241843432188,0.04062985726098608,0.0,0.024542421858010737,0.0009367007703531272,0.10887374963688974,0.3383414529574414,2.261923736891821
46,0.0001,0.5168870805452267,0.03965696320180238,0.0,0.025186694615210097,0.0009375397145655976,0.11033111502183601,0.34077476849779487,2.283723730660937
47,0.0001,0.5146707288610438,0.041260047682347555,0.0,0.02465058523618306,0.0009389169637567344,0.10745951108401641,0.34036166810741025,2.296661655425678
48,0.0001,0.5129256976457933,0.04002739266191687,0.0,0.024273966630668536,0.0009309850739403677,0.10655487897262599,0.3411384734790772,2.2672434637891463
49,0.0001,0.5160550948542854,0.041916430345736444,0.0,0.025147010096892092,0.0009304262160488482,0.10694844898534939,0.34111277914295596,2.2628488389292807
50,0.0001,0.5175146786496043,0.042278323092129234,0.0,0.02574635189739638,0.0009349802755878045,0.10730375198181719,0.34125127200968564,2.304663688565453
51,0.0001,0.5174781953295072,0.0438788926160972,0.0,0.025208547981795466,0.0009317975186604599,0.10567950777476653,0.34177945104117197,2.307163313822346
52,0.0001,0.5065535232424736,0.040759116905974224,0.0,0.023934091431632016,0.0009287542047786701,0.1047173361099946,0.33621422201395035,2.2725245576188797
53,0.0001,0.5012081068319579,0.03768118618609151,0.0,0.023316986200370593,0.000929174419904181,0.1026396881012867,0.33664107136428356,2.2250217539279955
54,0.0001,0.4977084523998201,0.03912677069214018,0.0,0.023531151680799667,0.0009209168676989066,0.1013085599988699,0.3328210550826043,2.2585363304179586
55,0.0001,0.4982228532123069,0.03829046264096784,0.0,0.02356889057288451,0.000926999521501178,0.10235299880150706,0.3330835026378433,2.251770965719075
56,0.0001,0.49940719238171977,0.039127542016406856,0.0,0.023610131863582257,0.0009183616430921878,0.10217786506594469,0.33357329162148136,2.279084902997465
57,0.0001,0.49624947644770145,0.03818521438127694,0.0,0.02355591409529249,0.0009179346118344256,0.09928898534659918,0.3343014270067215,2.253154975856587
58,0.0001,0.49113065702840686,0.035521810187977586,0.0,0.023178278558286063,0.0009220113082240763,0.09840792483494927,0.3331006305137028,2.235924989812304
59,0.0001,0.4920730485270421,0.03622808796353638,0.0,0.022590141228041222,0.0009145932978450825,0.09901958267437294,0.33332064119167626,2.2298430743541666
60,0.0001,0.49182466479639214,0.03653828024350029,0.0,0.022518169270673145,0.0009225351664099435,0.09892542365317543,0.33292025917520124,2.24877102699863
61,0.0001,0.4836771634096901,0.035264536752947606,0.0,0.022893115538560476,0.0009216343063750779,0.09967240481637418,0.32492547140767175,2.2354449537717436
62,0.0001,0.4801640057315429,0.03481046518330307,0.0,0.02200794171706851,0.0009163489175231613,0.09626768618666877,0.32616156393972534,2.4886278696272313
63,0.0001,0.4805651411103706,0.033667887718668986,0.0,0.02183630941847999,0.000916355121489687,0.09715257226101433,0.3269920165960987,2.1736112455315197
64,0.0001,0.4849818133128186,0.03723167693290937,0.0,0.023220512226544088,0.0009165118294731656,0.09445567945173632,0.329157432851692,2.2278522308772812
65,0.0001,0.481180921352158,0.035121506637854814,0.0,0.02223176689464405,0.0009183538772958855,0.09568713428840663,0.32722215773537755,2.74052907836349
66,0.0001,0.4765529193294545,0.03290281883043159,0.0,0.022041760834933182,0.0009157189929283049,0.09588125656591728,0.32481136335991323,2.144952906763303
67,0.0001,0.47430330344165367,0.03328342253371375,0.0,0.021715170361858327,0.0009102641897698049,0.09419647124983992,0.3241979777812958,2.1694904729479347
68,0.0001,0.4745231222671767,0.03455702254238228,0.0,0.021911723875139916,0.0009065538494420858,0.09277825629881893,0.3243695659718166,2.1492030538695674
69,0.0001,0.4730021790601313,0.034206699669690956,0.0,0.021590524636849295,0.0009119946097750168,0.09438708248004939,0.321905879303813,2.148033873888246
70,0.0001,0.46920786844566464,0.0319682866417376,0.0,0.021858583674960148,0.0009030940630812742,0.09305754567806919,0.32142035919241607,2.351365700643051
71,0.0001,0.4656040361151099,0.03186779056704836,0.0,0.021036385090458982,0.0009069463504450445,0.09119888728794952,0.32059402686233324,2.139455401492382
72,0.0001,0.46898944474135834,0.03310951676879389,0.0,0.021246789896395057,0.0009033917300863928,0.09089633201559384,0.32283341395668685,2.1880999982455993
73,0.0001,0.46719867751623195,0.0321822953519586,0.0,0.02138821357220877,0.0009067291380991568,0.09119067325567205,0.3215307662418733,2.189654987214771
74,0.0001,0.46740167882914346,0.03162822112669043,0.0,0.021721091178430168,0.0009008544384414563,0.09105529403313994,0.3220962175788979,2.203560912943584
75,0.0001,0.4649819683594008,0.0329422902953714,0.0,0.020848047670976182,0.0008998478809492857,0.09035137218112747,0.3199404102439682,2.3691504682653606
76,0.0001,0.47467582346871495,0.037284061994190175,0.0,0.022256100151328912,0.0009052649734258011,0.09101220751957347,0.3232181884037952,2.2005291858103155
77,0.0001,0.45905662328004837,0.03198852859350154,0.0,0.02011345620121574,0.0009207278026982143,0.08762161389070873,0.3184122958530982,2.7292258035982355
78,0.0001,0.4581479928456247,0.03386409998590049,0.0,0.020116864257336903,0.0009004104492760234,0.0861993683502078,0.31706725115266937,2.138930498097938
79,0.0001,0.45615849861254293,0.03046282965806313,0.0,0.020267780145028762,0.0008972443663424201,0.08688310994572628,0.31764753558672965,2.21522046087587
80,0.0001,0.4614324546419084,0.03368439198917864,0.0,0.021220119260154508,0.0009022992918896003,0.0875199704314582,0.31810567310700816,2.1366584205165613
