epoch,lr,train_total,train_main,train_nonneg,train_smooth,train_anom,train_grad,train_pattern,train_spectral,train_var,train_rmse
1,0.0001,2.0397218278411664,0.8241603751666844,0.0,0.0,0.07232861930264556,0.003784740063234825,0.5148003980743162,0.6246477003124628,0.0,4.441050477460051
2,0.0001,1.5043137954040007,0.4471341535505472,0.0,0.0,0.06683799339401902,0.0016383324718018148,0.4349804852496494,0.5537228360772133,0.0,3.7809923942655215
3,0.0001,1.206158278340643,0.24578502023536147,0.0,0.0,0.06206422982822088,0.001472025871793669,0.3776427329038129,0.5191942672386314,0.0,3.29430005039648
4,0.0001,1.0701288562832456,0.16383186941543085,0.0,0.0,0.058564154635832616,0.001308847362507191,0.3384146197332126,0.5080093662395622,0.0,3.01384404686025
5,0.0001,0.9918992469708124,0.13132949018230042,0.0,0.0,0.05548547779273411,0.0012040159039536252,0.3194733758485227,0.48440688554987765,0.0,2.908649850651079
6,0.0001,0.9448279438145233,0.12082532535053113,0.0,0.0,0.05295320685113301,0.0011224805234770897,0.2944620391353965,0.4754648901747935,0.0,2.892832631765091
7,0.0001,0.887753433011698,0.10865011802437066,0.0,0.0,0.0492220685083532,0.0010706103310054239,0.274485494123038,0.4543251440380559,0.0,2.823509201221982
8,0.0001,0.8740011644408558,0.10345998132305051,0.0,0.0,0.049412548185721265,0.001044003885302421,0.2645991514013572,0.45548547996264516,0.0,2.792453213226672
9,0.0001,0.840665681118315,0.10261235744551275,0.0,0.0,0.046944086058911955,0.0010090162938991632,0.24996464798283397,0.44013557278297166,0.0,2.8238220039058564
10,0.0001,0.8116857541555708,0.09560149006023438,0.0,0.0,0.04476407145777943,0.0010031895360567212,0.2410886584301338,0.4292283441984292,0.0,2.7331774192905813
11,0.0001,0.7953824159322362,0.09164292994660861,0.0,0.0,0.043345033231713445,0.0009810484412314095,0.23560456719926812,0.4238088358983849,0.0,2.6766663012424896
12,0.0001,0.7814506741635727,0.08796603026602304,0.0,0.0,0.04228755364116902,0.0009648909613271385,0.22499350274941235,0.4252386975920562,0.0,2.6874790209927184
13,0.0001,0.7499029962628176,0.0841733630760714,0.0,0.0,0.04001580045389181,0.0009599127222992882,0.21614227892661636,0.40861163999546657,0.0,2.6220540005518784
14,0.0001,0.7439276657321237,0.08132393875469764,0.0,0.0,0.03935170303465742,0.0009514390381589307,0.21152461212918613,0.4107759725866896,0.0,2.5498566074164883
15,0.0001,0.724884470416741,0.07538556793676407,0.0,0.0,0.03763020584522041,0.0009384055405958366,0.20354013619097797,0.40739015478527907,0.0,2.5155498134458316
16,0.0001,0.7062646152846741,0.07109205327596459,0.0,0.0,0.036308227115748166,0.0009364969109535168,0.20017747868868438,0.3977503602703412,0.0,2.4532657494634305
17,0.0001,0.7027470975211172,0.07154031887749267,0.0,0.0,0.03682120469624572,0.0009342285367452088,0.19584378521099235,0.39760756029775646,0.0,2.4332046868693564
18,0.0001,0.6953629302707586,0.06979827084014135,0.0,0.0,0.0353473533865657,0.0009269431157008512,0.19239686659509034,0.3968934972177852,0.0,2.519958881825755
19,0.0001,0.6766805145325083,0.06677213698011739,0.0,0.0,0.03432227743641389,0.0009206307213665268,0.1860121451882702,0.38865332565072813,0.0,2.4462525427951993
20,0.0001,0.6789991824012814,0.0686754505714458,0.0,0.0,0.03451158764602786,0.0009195840322001569,0.18420837032185358,0.39068418910557573,0.0,2.473873760347515
21,0.0001,0.671340847105691,0.06787786698392169,0.0,0.0,0.03394852211226173,0.0009143400775153141,0.17883513740856538,0.3897649802719102,0.0,2.4708349227820063
22,0.0001,0.6664706116372888,0.06367669902586688,0.0,0.0,0.033065285288488885,0.0009168736924590176,0.17753665417319897,0.3912750991682212,0.0,2.3954362626478627
